,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,01.Feb,02.Mar
88,161590.4155,8315.894575,8598.61166,7775.90126,9731.950879,162647.2363,153700.8064,181606.1736,185837.1631,161799.3275,159407.2436,200520.3125,198455.5915,199304.6992,185618.5348,157798.3166,173732.6318
94,140003.1407,6294.455314,5819.844036,5816.575883,8111.199318,139206.5415,131693.2202,171213.3546,165035.6957,137802.5026,133619.7397,187084.4,185177.6945,187381.6171,162037.3686,139516.9393,144061.4053
103,90871.66449,5928.720359,6606.430705,5169.982942,5010.03382,89898.81162,84825.18686,95415.27472,92079.09902,88707.71528,86909.28225,103273.6159,103781.0553,103837.0017,101305.3564,85384.7237,93773.3455
104,56283.0035,3673.479482,4643.726444,3742.398793,4571.684372,61536.16586,56219.66939,66661.66988,71585.46897,60098.80584,56595.31326,74539.25247,76135.54984,76701.62785,68318.56667,60602.84927,66071.69811
107,233117.7363,19107.58208,20422.40118,20817.92642,22643.59557,249783.523,236282.3621,268739.1085,261168.0221,246602.8786,242937.1893,286404.9253,302636.0389,293708.9458,279341.26,238637.3453,267412.38
113,4829.032242,27903.56204,31486.05476,34138.59389,19337.3183,5287.092199,4598.560357,5570.657346,5056.254375,5419.729129,6403.267779,5416.147202,4738.063308,4872.43854,5681.916745,5448.496836,5999.748195
114,76013.00292,6024.964944,5879.802865,6072.665737,4118.141957,91736.24065,85453.00554,108071.5248,110913.1922,90352.08269,87731.35516,121347.2944,118366.8203,119856.8318,103206.8478,81485.13568,96941.44261
117,40191.79494,6027.03975,5681.695317,5442.341979,5350.305583,40846.64156,38054.41085,51347.0744,53288.56248,40799.93636,38618.79721,60797.47503,58720.25975,59874.98249,45422.4339,39830.52636,43476.71291
120,314033.7031,27660.47364,28132.79239,30383.68749,29965.82907,328349.2511,311405.5682,349243.659,364186.4715,321505.9147,319426.6453,370712.9571,389904.2513,380155.356,357595.0839,271798.5692,350503.132
129,99723.80466,7572.566206,9110.318515,8579.09863,9460.336775,106793.3572,103782.6201,116553.5363,118587.4718,105622.1061,104861.4583,124467.0989,131048.2465,128073.383,118483.5104,96165.68486,116330.53
135,110147.0472,11112.15038,11069.92873,11166.77392,10684.47874,116367.7552,112812.1174,126059.7353,135081.5365,114133.0365,116535.5127,135393.3423,142179.0731,140670.9033,131209.2988,112712.0703,126556.1274
143,374198.2767,47666.19246,46350.9929,47681.6514,39573.34398,350722.9999,345038.8122,391547.9089,440817.3412,346498.2431,345779.969,420207.8508,442276.3144,463555.9142,391914.4544,273656.8286,385389.6673
144,55035.52515,2998.801842,3408.324519,3574.694417,3748.961837,56134.08778,52684.28587,214177.5932,316956.0588,54950.31141,52115.22543,319299.8433,270964.306,323044.0146,92727.24322,50908.96955,53074.01827
149,37012.53979,5633.129515,5506.706537,5633.24508,5583.614458,49469.73815,43620.05221,179141.1791,267240.7141,46188.14824,46875.20852,260385.2009,219458.9223,264275.3327,73910.13107,42634.22581,43721.49746
151,57087.0578,11464.34388,14631.75708,16853.49783,10554.24685,58085.80425,52897.93923,154297.8263,225048.3987,59977.80764,52365.66238,210785.0547,184047.288,212085.1034,82834.3421,53886.71808,52325.13165
154,19009.22269,16196.75835,10634.86357,9456.241053,14316.53769,19255.11125,18521.83671,228147.8686,399343.9642,18279.96504,20767.99829,367733.7023,283385.8615,387118.1743,62158.21983,21474.7298,23236.63395
156,98733.62159,13149.70815,13124.15111,10968.63184,12513.2256,100832.397,99800.83189,114997.4231,129191.4594,102020.8638,100274.5655,123165.4803,128907.4574,133007.1283,116937.5887,93665.23715,107251.4085
157,12023.31263,44850.79196,49590.08244,51667.12891,36328.79424,12670.31134,11358.05086,10669.73941,11944.5343,12520.38859,11607.09361,9304.884496,8141.113547,10288.12348,12438.29465,10913.14066,12943.63277
166,61276.68027,29155.02794,31826.6116,27945.00895,32139.79654,85049.8699,84056.75392,693314.7832,1133777.311,85418.71346,81876.97082,1083294.737,880639.0664,1102072.321,193219.8738,76416.40303,76570.53791
168,6307.66806,8022.766132,8279.35062,8663.204541,8178.807545,8336.518634,8455.070063,55655.76107,92255.28564,9015.62285,4992.855563,82571.75088,63746.66016,87798.56883,15551.8845,7599.339554,7022.109245
169,37085.48902,8516.600681,7079.908572,9807.909013,7905.951501,36460.1594,34324.88254,40693.54228,45083.59244,36393.10679,35678.79543,47412.58191,45764.68339,47641.35739,41487.3625,36695.11188,37787.80534
170,28695.27139,12360.56852,11579.69629,12601.72037,13425.86885,32140.98539,30195.09677,259626.6549,427268.7151,31159.6131,31978.5572,416609.5885,337511.176,414505.3845,79094.94539,28089.07787,31738.90573
172,74486.86729,2271.801549,3169.476019,2350.174546,2060.578683,82732.195,72373.34217,176228.8418,285511.9294,71381.53306,83154.97111,240085.979,234106.9147,251316.8512,95813.2283,73190.3286,71315.88503
173,74566.75213,39250.78875,35759.35116,38642.67844,39498.00337,93817.51004,89139.21183,594666.9351,975895.7603,91237.57623,88262.07762,943295.7925,778024.3517,953273.7729,198303.2114,86507.592,83933.92531
176,73915.85333,29236.78693,28241.32391,26291.40377,30066.8291,86944.50086,89001.3676,201253.4221,312055.1765,89092.42312,84537.35628,276232.9897,238495.4771,284636.8616,117062.0263,83859.10945,86844.75023
177,10304.96962,4833.276161,4807.012075,3815.532111,4741.921467,7298.131534,7317.855706,83681.65148,148464.4558,6674.843638,7477.025318,138140.4233,117332.7007,149148.7064,22828.32436,9547.835356,7479.994237
179,4697.70111,6380.300635,3991.302462,4817.461882,5532.17311,6995.19373,6646.762619,77451.93403,130970.7212,7057.44681,7106.744467,125189.2106,100773.2482,127963.9617,20446.52112,5030.933379,5831.481347
181,9242.747714,9772.951167,7423.843691,6815.919981,9404.998426,14671.27304,12640.51156,178342.548,295289.655,14076.49948,15378.54016,283054.8102,226408.9784,286410.7435,44309.17359,12413.31183,12848.20512
184,30238.43108,10396.45322,10560.03512,9902.592722,9856.698856,13611.15112,13479.57353,223396.6172,378316.245,13613.67348,14014.23282,338395.1701,280943.2803,381248.393,59144.10742,24705.08692,16047.85507
188,8119.671485,7274.286618,6523.67059,7592.583874,6635.983714,7035.839489,8303.840466,58962.59526,91400.24094,8723.315789,8517.160412,89362.87412,75253.49081,95343.72594,18595.80539,6818.212889,8457.992715
194,324797.9494,41639.25713,41750.33255,42382.59103,40596.99723,373966.9704,360919.6191,403498.9041,442046.605,368365.3702,363275.1028,434730.9977,451603.106,453073.3298,386326.4026,318546.4595,404632.3073
196,10651.32305,9216.596001,9547.60849,5998.005557,11252.02163,9084.158952,9311.305505,63849.47537,101205.0829,9068.923167,7342.195746,99587.05728,83844.97456,103395.6836,21116.18767,12833.90187,9592.605746
197,16640.95284,10224.55432,9687.854467,10636.9956,8605.106489,18153.27391,19325.19673,154016.8141,232193.417,18179.76075,18299.15444,236708.8028,193863.9849,227239.9467,44742.45791,18589.51664,19283.50612
201,7750.041773,4849.112408,6001.517179,5537.034872,7148.351298,6933.757502,7307.487968,56920.66156,93002.41226,8059.25876,7066.692558,88088.74218,73617.83363,88205.35845,16908.13894,7992.234451,5387.187973
204,50221.51744,20342.89398,17682.04946,17437.06858,16853.08878,41161.25205,45311.93973,107510.1271,154450.501,43206.77367,40610.81296,143961.083,130213.9217,143139.9736,51748.00343,36795.16431,42845.11991
207,4836.865954,1623.940624,1472.238886,1663.676873,1579.680028,4426.963156,3577.768695,22648.48868,34437.0325,3704.017698,4889.857468,35460.9648,29462.46532,40829.4907,8726.10825,5037.340903,5741.072376
209,12155.82134,14264.58317,13586.99416,12308.11596,31156.83618,13176.33363,13445.37002,164413.6985,273426.8705,12971.86895,12703.19549,261206.4554,210330.296,269214.6295,42442.79576,11001.45725,12690.36069
213,8414.098012,8978.794661,14852.6522,9436.597131,9396.748639,8035.680978,8906.890922,61204.02398,114856.0557,9096.843003,8666.310918,103841.7427,76631.46571,97281.32004,17093.37386,8320.604611,9073.971259
216,63183.51489,71666.91753,67321.54268,66355.03912,139010.0249,65647.52841,62053.3246,673199.6463,1079979.268,65742.42325,67086.06881,1045738.211,851889.8797,1073072.61,182999.7271,62645.48302,63066.57459
217,7060.158924,1766.138672,1386.511843,1599.256117,2784.465607,8375.358282,9829.67933,40739.13602,60630.01959,8142.053728,8888.954637,63935.36194,50720.15118,62809.50228,14010.86491,8275.682735,8161.484044
230,7050.138133,2523.384566,2882.108168,2777.961424,2857.798222,8225.742008,7483.508568,22133.132,33799.80586,6595.5883,6642.406273,29876.26193,26771.47297,30463.59562,10178.2969,6030.180047,6803.934499
233,4884.395581,6658.756767,5939.698656,5991.288016,5891.626828,5174.77841,5635.701843,25226.54838,37059.13567,5758.721905,5085.023379,37221.29402,30424.86586,37365.14544,8956.55681,5321.331716,5415.944908
235,12762.97495,5504.158636,5407.320003,5056.804079,5556.876674,12165.57395,9386.273339,36858.12474,63737.16208,10988.25672,10843.47554,61555.51566,51804.9731,62664.60259,17119.97701,16560.12465,10499.45818
238,4799.256901,1419.086976,1723.416838,870.0839312,1224.611419,2931.440457,3106.153469,21514.07891,31628.57395,2638.656009,2867.787763,31524.23753,26141.57234,32417.18566,5841.253218,4248.774672,2851.930113
248,4097.796532,3225.79977,2787.870874,3358.4582,3159.779348,3722.802207,4428.576908,18632.71525,30719.75669,3928.554116,4193.24741,27375.46312,21279.22092,28617.01062,6928.285967,4403.337627,4603.320351
255,14154.88421,1790.858695,1607.818067,1379.945802,1471.441597,18553.51201,15726.23339,24353.1792,20913.34127,17452.7492,15742.5606,23478.36659,23389.68781,24409.03715,17562.50015,16423.29661,14650.74459
263,7848.355827,2496.92573,1997.07016,1859.928976,2161.605839,9981.986325,7647.56577,34599.38606,54115.52074,9112.296824,6652.370689,55604.84783,44718.66297,55003.1405,14921.16909,10638.69764,8313.159357
266,3300.284486,12293.50681,14631.23592,14764.37377,10077.22338,3747.634218,3594.752558,3150.111218,3398.679257,3937.273313,3437.036913,3268.657371,2852.995274,3839.333895,3351.226062,3659.33645,3650.135267
274,36370.34361,121217.4142,152757.4483,165855.9089,91111.60854,44179.89362,40534.54115,36571.13941,37902.37805,45460.15107,36539.3401,35370.99162,36325.90998,41430.24898,43027.44451,35405.63407,45626.03928
284,3194.011912,2930.510969,2897.603595,2888.827636,3411.760736,3997.364283,4002.281028,22624.56328,33046.45256,3851.688934,3759.32556,29114.40044,23748.42431,35035.42394,7432.311171,3679.007264,3753.287949
285,19895.98318,3947.360358,4237.292839,3395.606998,3252.339729,21762.1638,23377.97213,25297.07818,23415.18864,22273.12608,23614.26834,28292.52232,29985.49594,26995.611,29454.93944,24871.63351,26412.50119
286,10071.09207,6880.572554,3918.229828,3712.096888,6513.490871,10949.68413,11842.2874,27174.49405,31796.78691,11863.39628,11116.31459,37742.53977,32834.04844,38885.31443,13345.01176,9877.833234,9764.06716
287,42315.71197,18019.46016,17406.05895,18426.62899,18325.00361,41353.04048,41013.22173,62733.64686,86225.36272,40828.78562,41524.69689,81504.27713,66066.44889,78947.17128,44224.42223,40855.44231,40931.82806
288,66178.93481,16202.52201,18754.38424,22295.75841,23372.58145,93370.88409,104332.3585,534029.7588,1278192.116,93254.86125,103742.9278,856946.3647,648779.7301,880177.3625,200755.9768,94142.84117,99385.92366
295,47006.22757,17168.16056,16987.09813,25281.83495,18376.58036,61855.41242,59028.6075,78845.40089,78490.97417,62584.56373,62277.34614,88355.34531,84396.65825,86000.41445,68733.98506,49562.59629,63591.00702
296,5017.789921,6754.199697,6495.693129,6461.379671,7511.808043,4459.540489,5651.023649,24700.36161,48532.98328,4459.023614,5485.13309,36926.67335,27896.32421,42341.07023,9650.778788,4836.570582,4811.469748
299,20215.03221,5832.891021,6215.023096,6291.772845,7484.660915,26081.69915,26883.86141,163120.0909,351621.1549,24372.51581,24988.21037,233583.5564,184516.7452,230007.9696,48294.56289,18687.39112,21894.07446
300,15570.47595,11230.63509,11777.97061,10859.32857,14158.93302,19531.10434,19326.32148,112906.8744,268864.5736,21773.19297,19237.75429,176246.1096,138098.0046,183361.4173,48008.09562,15231.92572,17620.34294
305,3935.720003,3864.531868,5015.740345,4367.808752,6444.735444,4361.8047,4183.398665,21715.17118,31959.03851,4369.017704,4333.780501,30473.54721,26232.31705,30617.29353,8207.217975,4867.842982,4198.365289
311,212067.9013,57624.2209,57978.09546,56984.05026,56740.57241,249451.9647,257205.5392,309492.3887,390439.4001,254745.1695,257369.5475,351122.7691,341725.4759,402940.1809,283127.2109,223312.5141,269900.239
315,2726.357839,1612.543597,1977.423371,2094.6004,1562.086475,4231.900557,4540.528264,12854.41362,18397.105,4119.304423,3551.904473,18412.23463,15116.56673,18662.39494,5091.810613,3897.805259,3664.384518
318,21209.06107,3418.376769,3431.356212,2564.616315,4159.322983,22794.62778,22797.91564,27208.24522,25822.21625,22118.58886,24680.36682,30745.15018,31584.29288,30148.60304,26378.25359,22156.83562,25790.34606
